Filament Name,Filament Material,Filament Link,Filament Color,Filament Color Image Link,Filament Color Hex,Link to Filament TDS
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Canada / Black 1KG*10Rolls / PLA-Matte,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Canada / Random Color 1KG*10Rolls (Maybe Repeated) / PLA,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_2.jpg?v=1740131077,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Canada / Random Color 1KG*10Rolls (Maybe Repeated) / PLA-Meta,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_2.jpg?v=1740131077,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Australia / Black 1KG*10Rolls / PLA,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Australia / Random Color 1KG*10Rolls (Maybe Repeated) / PLA-Meta,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_2.jpg?v=1740131077,Not Available,Not Available
ABS-GF (ABS Glass Fiber) 3D Printer Filament 1KG,ABS,https://store.sunlu.com/products/sunlu-abs-gf-abs-glass-fiber-3d-printer-filament-1kg,Ship to USA / ABS-GF | Natural 1KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/ABS-GF_ABSGlassFiber_3DPrinterFilament1KG_5.jpg?v=1766395430,Not Available,Not Available
ABS-GF (ABS Glass Fiber) 3D Printer Filament 1KG,ABS,https://store.sunlu.com/products/sunlu-abs-gf-abs-glass-fiber-3d-printer-filament-1kg,Ship to Europe / ABS-GF | Natural 1KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/ABS-GF_ABSGlassFiber_3DPrinterFilament1KG_5.jpg?v=1766395430,Not Available,Not Available
ABS-GF (ABS Glass Fiber) 3D Printer Filament 1KG,ABS,https://store.sunlu.com/products/sunlu-abs-gf-abs-glass-fiber-3d-printer-filament-1kg,Ship to Australia / ABS-GF | Natural 1KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/ABS-GF_ABSGlassFiber_3DPrinterFilament1KG_5.jpg?v=1766395430,Not Available,Not Available
ABS-GF (ABS Glass Fiber) 3D Printer Filament 1KG,ABS,https://store.sunlu.com/products/sunlu-abs-gf-abs-glass-fiber-3d-printer-filament-1kg,Ship to Canada / ABS-GF | Natural 1KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/ABS-GF_ABSGlassFiber_3DPrinterFilament1KG_5.jpg?v=1766395430,Not Available,Not Available
PEEK (Polyether Ether Ketone) 3D Printer Filament 1KG,Unknown,https://store.sunlu.com/products/sunlu-peek-polyether-ether-ketone-3d-printer-filament-1kg-engineering-filaments,Ship to USA / PEEK | Natural 1KG,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/SUNLUPEEK_PolyetherEtherKetone_3DPrinterFilament1KG_1.jpg?v=1766395512,Not Available,Not Available
