Filament Name,Filament Material,Filament Link,Filament Color,Filament Color Image Link,Filament Color Hex,Link to Filament TDS
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,RED RACE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,YELLOW TREED,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,YELLOW LEMON,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,VIOLET,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,ALLUMINIUM,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,BRONZE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,ANTHRACITE GREY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,GREEN ARMY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,AQUAMARINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,ORANGE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,RED WINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,BROWN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,Industrial Grey,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,APPLE GREEN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Gonzales,PLA,https://treedfilaments.com/shop/product/?sku=PLAGONZ,Oxford green,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplagonzales.png,Not Available,Not Available
PLA Levigo,PLA,https://treedfilaments.com/shop/product/?sku=PLALEV,NATURAL,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplalevigo.png,Not Available,Not Available
PLA Shineless,PLA,https://treedfilaments.com/shop/product/?sku=PLASHINE,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplashineless.png,Not Available,Not Available
PLA Shineless,PLA,https://treedfilaments.com/shop/product/?sku=PLASHINE,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplashineless.png,Not Available,Not Available
